date,hospital_id,hospital_name,region,bed_capacity,beds_occupied,beds_available,icu_beds_total,icu_beds_occupied,ventilators_total,ventilators_in_use,ventilators_available,patient_admissions,patient_discharges,emergency_visits,surgery_count,avg_wait_time_minutes,doctors_total,doctors_available,nurses_total,nurses_available,paramedics_total,paramedics_available,staff_overtime_hours,staff_sick_leave,supply_masks,supply_gloves,supply_sanitizer,supply_medicines_stock_level,equipment_xray_functional,equipment_ct_scan_functional,equipment_mri_functional,ambulances_total,ambulances_available,transport_cost_per_km,avg_patient_satisfaction,burnout_risk_score,covid_cases,flu_cases,other_infectious_cases,location
2024-10-20,H001,City General Hospital,North,500,420,80,50,42,30,25,5,85,78,120,15,45,80,65,200,150,50,40,450,12,5000,8000,500,85,3,2,1,10,8,2.5,4.2,high,15,8,3,"40.7580,-73.9855"
2024-10-20,H002,Regional Medical Center,South,300,280,20,30,28,20,19,1,65,58,95,12,65,50,45,120,105,30,28,380,8,3000,5000,300,70,2,1,1,6,5,3.0,3.8,critical,22,12,5,"40.7489,-73.9680"
2024-10-20,H003,Community Health Center,East,150,110,40,15,10,10,7,3,45,42,60,8,30,25,20,60,50,15,12,180,5,2000,3000,200,90,1,0,0,4,3,2.0,4.5,medium,8,5,2,"40.7614,-73.9776"
2024-10-20,H004,Metropolitan Hospital,West,400,350,50,40,35,25,22,3,75,70,110,14,50,70,55,150,120,40,35,420,10,4500,7000,450,80,3,2,1,8,7,2.8,4.0,medium,18,10,4,"40.7505,-73.9934"
2024-10-20,H005,District Hospital,Central,250,200,50,25,20,15,13,2,55,50,80,10,40,40,35,100,85,25,20,320,7,2500,4000,250,75,2,1,0,5,4,2.2,4.3,high,12,7,3,"40.7690,-73.9712"
2024-10-21,H001,City General Hospital,North,500,435,65,50,45,30,27,3,92,80,135,18,50,80,62,200,145,50,38,480,15,4800,7800,480,82,3,2,1,10,7,2.5,4.1,high,18,10,4,"40.7580,-73.9855"
2024-10-21,H002,Regional Medical Center,South,300,290,10,30,29,20,20,0,70,60,105,13,75,50,43,120,100,30,26,420,10,2800,4800,280,65,2,1,1,6,4,3.0,3.6,critical,25,15,6,"40.7489,-73.9680"
2024-10-21,H003,Community Health Center,East,150,120,30,15,12,10,8,2,48,45,65,9,35,25,19,60,48,15,11,200,6,1900,2900,190,88,1,0,0,4,3,2.0,4.4,medium,10,6,3,"40.7614,-73.9776"
2024-10-21,H004,Metropolitan Hospital,West,400,360,40,40,37,25,23,2,80,72,120,15,55,70,53,150,115,40,33,450,12,4300,6800,430,78,3,2,1,8,6,2.8,3.9,medium,20,12,5,"40.7505,-73.9934"
2024-10-21,H005,District Hospital,Central,250,210,40,25,22,15,14,1,58,52,85,11,45,40,33,100,82,25,19,340,8,2400,3900,240,73,2,1,0,5,4,2.2,4.2,high,14,8,4,"40.7690,-73.9712"
